BvBmsy,FvFmsy,i_rights
1.43,1.58,ITQ
1.17,0.925,ITQ
0.942,0.504,ITQ
0.701,0.299,ITQ
0.569,0.171,ITQ
0.489,0,ITQ
0.432,0,ITQ
0.426,0,ITQ
0.477,0,ITQ
0.584,0,ITQ
0.704,0,ITQ
0.862,0,ITQ
1.08,0,ITQ
1.34,0.034,ITQ
1.52,0.062,ITQ
1.68,0.064,ITQ
2.02,0.056,ITQ
2.13,0.101,ITQ
1.96,0,ITQ
1.77,0,ITQ
1.77,0,ITQ
1.77,0.097,No ITQ
1.96,0.159,No ITQ
2.04,0.756,No ITQ
1.95,0.506,No ITQ
2.5,0.568,No ITQ
2.5,0.394,No ITQ
2.5,0.309,No ITQ
2.5,0.294,No ITQ
2.5,0.168,No ITQ
2.5,0.165,No ITQ
2.5,0.341,No ITQ
2.5,0.085,No ITQ
2.5,0.747,No ITQ
2.5,0.759,No ITQ
2.15,0.553,No ITQ
1.85,0.756,No ITQ
1.54,1.03,No ITQ
1.23,1.14,No ITQ
0.95,0.756,No ITQ
0.819,0.662,No ITQ
0.729,0.826,No ITQ
0.654,0.029,No ITQ
0.673,0.035,No ITQ
0.677,0.024,No ITQ
0.677,0.029,No ITQ
0.699,0.044,No ITQ
0.768,0.029,No ITQ
0.845,0.038,No ITQ
0.879,0.035,No ITQ
0.863,0.05,No ITQ
0.842,0.026,No ITQ
0.849,0.038,No ITQ
0.881,0.029,No ITQ
0.927,0.026,No ITQ
0.958,0.021,No ITQ
0.243,2.15,ITQ
0.302,1.92,ITQ
0.414,3.31,ITQ
0.496,4.38,ITQ
0.486,2.38,ITQ
0.502,5.15,ITQ
0.363,5.38,ITQ
0.235,4.92,ITQ
0.156,2.38,ITQ
0.173,3.77,ITQ
0.189,1.23,ITQ
0.287,1.08,ITQ
0.428,1.08,ITQ
0.631,0.462,ITQ
0.916,1,ITQ
1.17,0.538,ITQ
1.47,0.615,ITQ
1.74,0.538,ITQ
1.98,0.385,ITQ
2.22,0.385,ITQ
2.41,0.615,ITQ
2.5,0.923,ITQ
2.46,0.846,ITQ
2.39,0.846,ITQ
2.32,1.08,ITQ
2.18,0.846,ITQ
2.15,0.385,ITQ
2.29,0.385,ITQ
2.42,0.692,ITQ
2.47,0.538,ITQ
2.5,0.615,ITQ
2.49,0.538,ITQ
2.43,0.538,ITQ
2.35,0.846,ITQ
2.19,0.462,ITQ
2.11,0.385,ITQ
2.1,0.462,ITQ
2.07,0.385,ITQ
2.05,0.385,ITQ
2.05,0.385,ITQ
2.04,0.385,ITQ
2.05,0.462,ITQ
2.02,0.462,ITQ
2,0.615,ITQ
1.93,0.846,ITQ
1.81,0.615,ITQ
1.81,0.615,ITQ
1.81,0.615,ITQ
1.81,0.615,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.15,0,ITQ
1.16,0,ITQ
1.17,0,ITQ
1.18,0,ITQ
1.19,0,ITQ
1.21,0,ITQ
1.23,0,ITQ
