SpeciesCat,SciName
12,Lestradea perspicax
12,Lethrinops albus
12,Lichnochromis acuticeps
12,Limbochromis cavalliensis
12,Limnochromis abeelei
12,Macropleurodus bicolor
12,Maravichromis formosus
12,Mesonauta festivus
12,Microchromis zebroides
12,Microdontochromis rotundiventralis
12,Microgeophagus ramirezi
12,Myaka myaka
12,Naevochromis chrysogaster
12,Nanochromis consortus
12,Neetroplus nematopus
12,Neolamprologus boulengeri
12,Nimbochromis fuscotaeniatus
12,Nyassachromis breviceps
12,Ophthalmotilapia boops
12,Otopharynx argyrosoma
12,Oxylapia polli
12,Paracyprichromis brieni
12,Paralabidochromis victoriae
12,Parananochromis caudifasciatus
12,Paratilapia polleni
12,Paretroplus damii
12,Pelmatochromis buettikoferi
12,Pelvicachromis humilis
12,Crenicichla johanna
12,Crenicichla saxatilis
12,Crenicichla alta
12,Crenicichla lepidota
12,Perissodus eccentricus
12,Petenia splendida
12,Cyphotilapia frontosa
12,Pharyngochromis darlingi
12,Placidochromis electra
12,Platygnathochromis melanonotus
12,Platytaeniodus degeni
12,Plecodus elaviae
12,Protomelas annectens
12,Pseudocrenilabrus nicholsi
12,Pseudosimochromis curvifrons
12,Geophagus brasiliensis
12,Geophagus proximus
12,Geophagus spp
12,Limnotilapia dardennii
12,Xenochromis hecqui
12,Petrochromis polyodon
12,Xenotilapia bathyphila
12,Hemichromis bimaculatus
12,Hemichromis fasciatus
12,Etroplus maculatus
12,Etroplus suratensis
12,Astronotus ocellatus
12,Astronotus spp
12,Pungu maclareni
12,Bathybates ferox
12,Bathybates minor
12,Haplochromis acidens
12,Haplochromis desfontainii
12,Haplochromis burtoni
12,Haplochromis nyererei
12,Haplochromis spp
12,Lamprologus callipterus
12,Lobochilotes labiatus
12,Reganochromis calliurus
12,Retroculus lapidifera
12,Ptychochromis oligacanthus
12,Aequidens rivulatus
12,Aequidens portalegrensis
12,Aequidens pulchrus
12,Pseudotropheus ater
12,Pseudotropheus aurora
12,Pseudotropheus callainos
12,Pseudotropheus elongatus
12,Pseudotropheus tropheops
12,Pseudotropheus zebra
12,Pterochromis congicus
12,Petrotilapia genalutea
12,Melanochromis auratus
12,Melanochromis johannii
12,Labidochromis caeruleus
12,Labeotropheus fuelleborni
12,Genyochromis mento
12,Cyathochromis obliquidens
12,Symphysodon aequifasciata
12,Pterophyllum altum
12,Acarichthys heckelii
12,Acaronia vultuosa
12,Astatoreochromis alluaudi
12,Tylochromis aristoma
12,Tyrannochromis macrostoma
12,Satanoperca acuticeps
12,Schubotzia eduardiana
12,Schwetzochromis neodon
12,Sciaenochromis ahli
12,Chetia flaviventris
12,Julidochromis dickfeldi
12,Tramitichromis brevis
12,Trematocara caparti
12,Trematochromis schreyeni
12,Trematocranus labifer
12,Triglachromis otostigma
12,Tristramella sacra
12,Tropheus annectens
12,Uaru amphiacanthoides
12,Serranochromis angusticeps
12,Serranochromis robustus
12,Crenicara filamentosa
12,Simochromis babaulti
12,Spathodus erythrodon
12,Steatocranus casuarius
12,Stigmatochromis modestus
12,Stomatepia mariae
12,Taeniacara candidi
12,Taeniochromis holotaenia
